worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w1,2025-12-19T14:43:03.995055Z,7.000,200,True,0x50BbaB837D91CF9f3d77c66d83c40d4b389AB0B1,INSURER,541,MEDICAL_REPORT,5,READ,
w5,2025-12-19T14:43:03.995310Z,7.108,200,True,0xceebe3C41b74d2c472F28A01C7CC44d6aAcA498F,INSURER,795,TELEMATICS,3,READ,
w3,2025-12-19T14:43:03.995230Z,7.499,403,False,0x87731f9AB64CbE25f915Bd81646C15853b0A47F6,POLICE,729,TELEMATICS,3,READ,
w9,2025-12-19T14:43:03.995609Z,7.320,200,True,0x7034d06498b2196468b6eD861eda7B5D1cb5594c,REGULATOR,499,IMAGE,2,READ,
w6,2025-12-19T14:43:03.995343Z,7.842,200,True,0xCC454a974c35BAE19d6A6dE745A05E46885e2304,INSURER,967,OTHER,1,READ,
w2,2025-12-19T14:43:03.995175Z,8.362,200,True,0x536e3B0833a6eBb933f385c0b0De10423705f7a1,COURT,761,TELEMATICS,3,READ,
w7,2025-12-19T14:43:03.995527Z,8.295,200,True,0x8B87C429526Ce971509028A2d05b54c02704CDb3,INSURER,417,IMAGE,2,READ,
w4,2025-12-19T14:43:03.995270Z,8.816,200,True,0xB4C59915aF17bAB024Db05F0230B8Ee1aF00388d,COURT,423,IMAGE,2,READ,
w8,2025-12-19T14:43:03.995573Z,8.812,200,True,0xFbB08379ae5b6acFA48Fdee5E2Be6af84a90DcFb,COURT,719,TELEMATICS,3,READ,
w0,2025-12-19T14:43:03.992993Z,11.597,200,True,0xA07Ab60Dc6F87DcAbEA86aDb690fFf1e30BB14A6,COURT,704,TELEMATICS,3,READ,
w1,2025-12-19T14:43:04.002072Z,2.875,200,True,0x9a076822Eb2A5Aff3AfdAC8DF2620AD153dC4035,POLICE,152,VIDEO,2,READ,
w5,2025-12-19T14:43:04.002427Z,2.718,200,True,0xB29E5C47C181524AB77DF0E7095d8d832f9Afe6C,ADJUSTER,172,VIDEO,2,READ,
w3,2025-12-19T14:43:04.002737Z,2.647,200,True,0x6d633edcb7CD9413cd0509faebAE113ec0EC2FBc,INSURER,396,IMAGE,2,READ,
