worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w1,2025-12-19T14:43:03.395403Z,7.203,200,True,0x0b5E323fB184f11d5882ca0773Ff29b91c76b407,ADJUSTER,966,OTHER,1,READ,
w5,2025-12-19T14:43:03.395656Z,7.227,200,True,0x12A0e24FbEa46bC85bd893CE5E21beFB44f88f15,POLICE,374,IMAGE,2,READ,
w3,2025-12-19T14:43:03.395579Z,7.532,200,True,0x59F93F27b669bD4e2a076c77c1134dc9Bd550AFA,INSURER,690,MEDICAL_REPORT,5,READ,
w9,2025-12-19T14:43:03.395982Z,7.324,200,True,0x80eD6824a5F2334A090fCfbEB1450356BDc84d63,ADJUSTER,812,TELEMATICS,3,READ,
w6,2025-12-19T14:43:03.395691Z,8.198,403,False,0xCe0598bC3ba15cA3db71063563179eCf0D7c35A7,ADJUSTER,542,MEDICAL_REPORT,5,READ,
w2,2025-12-19T14:43:03.395523Z,8.677,200,True,0xe68d19e611fc7Cd8D9184Dbf3034203A5B0ba7E9,INSURER,567,FNOL,4,READ,
w7,2025-12-19T14:43:03.395879Z,8.720,200,True,0xc227AdED69aA39F067e0190b0EA4BB94BE51cb90,INSURER,345,IMAGE,2,READ,
w4,2025-12-19T14:43:03.395618Z,9.284,200,True,0x522720c7F4efE7A2D43976187610Dc8c55F17207,POLICE,435,IMAGE,2,READ,
w8,2025-12-19T14:43:03.395938Z,9.262,200,True,0xbDC02CAdBc892839484c2D2A7933028B4Cb9DBcE,INSURER,527,FNOL,4,READ,
w0,2025-12-19T14:43:03.393323Z,12.187,200,True,0xC9d315B25D2f58D8299fD726f1bd40D5b077C4a4,ADJUSTER,311,IMAGE,2,READ,
w1,2025-12-19T14:43:03.402622Z,3.252,200,True,0xf1E534De0C06d61147F8A18Fd769352969fDCF3B,INSURER,404,IMAGE,2,READ,
w5,2025-12-19T14:43:03.402893Z,3.270,200,True,0x90F928F43C9c4066afF2a1E64E1063ECE320A9E3,INSURER,747,TELEMATICS,3,READ,
w3,2025-12-19T14:43:03.403117Z,3.369,200,True,0x342E14b11b9f83662a05FF03e2f43C71f9Bf4873,REGULATOR,367,IMAGE,2,READ,
w9,2025-12-19T14:43:03.403313Z,3.765,403,False,0xe2a2B0b479b477f22BDd40fF8137AC17F6e34B2e,GARAGE,524,MEDICAL_REPORT,5,READ,
w6,2025-12-19T14:43:03.403899Z,3.401,200,True,0xb03C6C3a6e66a20729a4d4758D907D3A07cB0af5,INSURER,697,MEDICAL_REPORT,5,READ,
w2,2025-12-19T14:43:03.404208Z,3.288,200,True,0xE8bF57455EE3405331D286E17C7bC05cAD0bFB1C,POLICE,219,VIDEO,2,READ,
w7,2025-12-19T14:43:03.404609Z,3.155,200,True,0xECB4fA8D986702c344aB4Aacfa51CfeD104110bA,ADJUSTER,351,IMAGE,2,READ,
w4,2025-12-19T14:43:03.404911Z,3.073,200,True,0xD2e4187ae13875E61F4ADeB0bc309Fda9E672655,INSURER,904,OTHER,1,READ,
w8,2025-12-19T14:43:03.405210Z,3.023,200,True,0xE4B15B33FdBE23647b0F6070414150D566e1F62f,INSURER,728,TELEMATICS,3,READ,
w0,2025-12-19T14:43:03.405520Z,2.970,200,True,0xe34b6a9Bc4D2c8Ee70eEd4111Ea531E97DDb4c4E,COURT,671,FNOL,4,READ,
w1,2025-12-19T14:43:03.405882Z,2.881,200,True,0xFfF5E088c8b6a5a470a6D48f405892515c41FCa6,ADJUSTER,254,IMAGE,2,READ,
w5,2025-12-19T14:43:03.406171Z,2.839,200,True,0x8Dd8Ebe34924EFE25Fc2D7A18d687C6e9a775529,REGULATOR,673,FNOL,4,READ,
w3,2025-12-19T14:43:03.406496Z,2.723,403,False,0xd222D38Ccd1502056A8264eaCB2fCfc6c96F6B61,ADJUSTER,640,MEDICAL_REPORT,5,READ,
w9,2025-12-19T14:43:03.407086Z,2.443,403,False,0xca4373A5412dd617d707A9D63Fab5c33bc55890a,POLICE,521,MEDICAL_REPORT,5,READ,
w6,2025-12-19T14:43:03.407306Z,2.512,200,True,0x499B440236db366c87f8267Bd804228e12Df64A4,ADJUSTER,802,TELEMATICS,3,READ,
w2,2025-12-19T14:43:03.407503Z,2.595,200,True,0x3CeB0Aa9CCc9c0A29a814fBD5c1aD23dca52aeb6,ADJUSTER,775,TELEMATICS,3,READ,
w7,2025-12-19T14:43:03.407771Z,2.590,200,True,0xD46554Edf6329a0a8caae2A79EB7098A7a24Ba81,INSURER,649,FNOL,4,READ,
w4,2025-12-19T14:43:03.407991Z,2.582,200,True,0x5436Ade91ba3a6360A1246339D36223f463dF81a,INSURER,377,IMAGE,2,READ,
w8,2025-12-19T14:43:03.408240Z,2.514,200,True,0xdbCa1F43d1B1fE30218A3870f8CE54eA068b9546,COURT,819,TELEMATICS,3,READ,
w0,2025-12-19T14:43:03.408498Z,2.422,200,True,0xD46554Edf6329a0a8caae2A79EB7098A7a24Ba81,INSURER,997,OTHER,1,READ,
w1,2025-12-19T14:43:03.408770Z,2.332,200,True,0x3EBAE31cB2be64Fe5734160d81AF569256974D47,POLICE,484,IMAGE,2,READ,
w5,2025-12-19T14:43:03.409017Z,2.371,200,True,0x0Dc1cFEE2758F0e2688803c8098E11241014f8BB,INSURER,552,MEDICAL_REPORT,5,READ,
w3,2025-12-19T14:43:03.409227Z,2.468,200,True,0xB29E5C47C181524AB77DF0E7095d8d832f9Afe6C,ADJUSTER,688,FNOL,4,READ,
w9,2025-12-19T14:43:03.409536Z,2.469,200,True,0x711d7620b4C341A6A91E38D0c75783C80FfEdcED,COURT,427,IMAGE,2,READ,
w6,2025-12-19T14:43:03.409824Z,2.468,403,False,0xA88F90716eDCDc5BFa0993c4c7FA41f629e44d8c,GARAGE,836,TELEMATICS,3,READ,
w2,2025-12-19T14:43:03.410103Z,2.551,200,True,0xf3f97A6811D6ad4d52078Dca9bAe96C8d8136764,ADJUSTER,213,VIDEO,2,READ,
w7,2025-12-19T14:43:03.410367Z,2.508,403,False,0x9D65961198142f8eE2223b06687b0C16ED30B78E,POLICE,935,OTHER,1,READ,
w4,2025-12-19T14:43:03.410578Z,2.488,200,True,0x12A0e24FbEa46bC85bd893CE5E21beFB44f88f15,POLICE,52,VIDEO,2,READ,
w8,2025-12-19T14:43:03.410760Z,2.479,403,False,0x0Adc41557A616569Cd409d74aFe4C9FaD47a57ed,POLICE,690,MEDICAL_REPORT,5,READ,
w0,2025-12-19T14:43:03.410925Z,2.479,200,True,0x793235ebf79944f08742d0Cd92ca6D24B4327d8E,POLICE,47,VIDEO,2,READ,
w1,2025-12-19T14:43:03.411109Z,2.472,200,True,0xf7E1883f933104b142c40E92e6624179359b44C2,INSURER,924,OTHER,1,READ,
w5,2025-12-19T14:43:03.411394Z,2.345,200,True,0xca4373A5412dd617d707A9D63Fab5c33bc55890a,POLICE,435,IMAGE,2,READ,
w3,2025-12-19T14:43:03.411703Z,2.179,200,True,0x793235ebf79944f08742d0Cd92ca6D24B4327d8E,POLICE,334,IMAGE,2,READ,
w9,2025-12-19T14:43:03.412014Z,2.009,403,False,0x24a8D6d1D04D0d1D3e1c665a8Bd2f2B50Cb7097F,GARAGE,204,VIDEO,2,READ,
w6,2025-12-19T14:43:03.412300Z,1.915,403,False,0x18D398FEffFf1114bdb4B9558a6905E521C001A3,ADJUSTER,553,MEDICAL_REPORT,5,READ,
w2,2025-12-19T14:43:03.412662Z,1.841,200,True,0xA9da87e421E9bF79a8e80EaD31e737D98aa626eE,INSURER,570,FNOL,4,READ,
w7,2025-12-19T14:43:03.412881Z,2.177,200,True,0x555115C078B14a18238D974E5351E87E050EbE47,ADJUSTER,815,TELEMATICS,3,READ,
w4,2025-12-19T14:43:03.413072Z,2.203,200,True,0xb00fDdDb57D515d86B84D0A2E8E492d9b6082070,INSURER,435,IMAGE,2,READ,
w8,2025-12-19T14:43:03.413244Z,2.213,200,True,0x9Cc1e0F54e3D09Bf83b9f43222Ef44e11F170ff5,INSURER,269,IMAGE,2,READ,
w0,2025-12-19T14:43:03.413409Z,2.225,200,True,0xdC2E4E6D348448D3722b528D8c9272eD5C020F55,POLICE,158,VIDEO,2,READ,
w1,2025-12-19T14:43:03.413588Z,2.246,403,False,0x32a71350b8324e903BA5674B6456e07Bd472AA8f,GARAGE,835,TELEMATICS,3,READ,
w5,2025-12-19T14:43:03.413744Z,2.274,403,False,0x7775fD4aD4669C7F6F26aCBf7CC07d9dA5f959C8,POLICE,939,OTHER,1,READ,
w3,2025-12-19T14:43:03.413887Z,2.316,403,False,0x28de4877801Eb83FF8f280a15cC0c360f89295ED,GARAGE,10,VIDEO,2,READ,
w9,2025-12-19T14:43:03.414028Z,2.327,200,True,0x1dDd4F87D89500d1d92400BaE6cdb8373566adeE,INSURER,458,IMAGE,2,READ,
w6,2025-12-19T14:43:03.414221Z,2.328,200,True,0xdbCa1F43d1B1fE30218A3870f8CE54eA068b9546,COURT,538,FNOL,4,READ,
w2,2025-12-19T14:43:03.414509Z,2.213,200,True,0xeE7a8fa9C275631851e5D7dc28236a336206c473,COURT,526,FNOL,4,READ,
w7,2025-12-19T14:43:03.415064Z,1.832,200,True,0xA88F90716eDCDc5BFa0993c4c7FA41f629e44d8c,GARAGE,352,IMAGE,2,READ,
w4,2025-12-19T14:43:03.415280Z,1.868,200,True,0xf3f97A6811D6ad4d52078Dca9bAe96C8d8136764,ADJUSTER,284,IMAGE,2,READ,
w8,2025-12-19T14:43:03.415464Z,1.894,403,False,0x3EBAE31cB2be64Fe5734160d81AF569256974D47,POLICE,799,TELEMATICS,3,READ,
w0,2025-12-19T14:43:03.415640Z,1.958,200,True,0x45027EB686032B693Ea79a63545D177B238bc218,INSURER,11,VIDEO,2,READ,
w1,2025-12-19T14:43:03.415839Z,1.997,200,True,0xDB6a12DbE55181c3f880bD63570EA3f3AC91e63A,ADJUSTER,174,VIDEO,2,READ,
w5,2025-12-19T14:43:03.416023Z,2.064,200,True,0x7F58e30B33E800fAD1041651365A29CfB660aC57,INSURER,122,VIDEO,2,READ,
w3,2025-12-19T14:43:03.416209Z,2.036,403,False,0x9fFdEc67F092978A065F3956A4C0D0887253f6B4,GARAGE,947,OTHER,1,READ,
w9,2025-12-19T14:43:03.416359Z,2.062,200,True,0xd3ad26904604cf4A6e4Ef026c902c9f70562F892,INSURER,43,VIDEO,2,READ,
w6,2025-12-19T14:43:03.416553Z,1.995,200,True,0xeE7a8fa9C275631851e5D7dc28236a336206c473,COURT,149,VIDEO,2,READ,
w2,2025-12-19T14:43:03.416726Z,1.991,200,True,0x7775fD4aD4669C7F6F26aCBf7CC07d9dA5f959C8,POLICE,53,VIDEO,2,READ,
w7,2025-12-19T14:43:03.416903Z,1.942,200,True,0x555115C078B14a18238D974E5351E87E050EbE47,ADJUSTER,724,TELEMATICS,3,READ,
w4,2025-12-19T14:43:03.417154Z,1.853,200,True,0xC9d315B25D2f58D8299fD726f1bd40D5b077C4a4,ADJUSTER,434,IMAGE,2,READ,
w8,2025-12-19T14:43:03.417365Z,1.748,200,True,0x5436Ade91ba3a6360A1246339D36223f463dF81a,INSURER,166,VIDEO,2,READ,
w0,2025-12-19T14:43:03.417606Z,1.633,403,False,0x20f5B667b21b5fC5b82Fa52c25088446F4026127,POLICE,643,FNOL,4,READ,
w1,2025-12-19T14:43:03.417844Z,1.544,200,True,0x555115C078B14a18238D974E5351E87E050EbE47,ADJUSTER,902,OTHER,1,READ,
w5,2025-12-19T14:43:03.418094Z,1.444,200,True,0x6d633edcb7CD9413cd0509faebAE113ec0EC2FBc,INSURER,704,TELEMATICS,3,READ,
w3,2025-12-19T14:43:03.418251Z,1.386,200,True,0x4a5907024898DA4eE2BA57e89D767C6406ebD232,INSURER,814,TELEMATICS,3,READ,
w9,2025-12-19T14:43:03.418427Z,1.335,200,True,0x03E8540790383Dc711c7029C4a4727A3D6F85Ee6,INSURER,418,IMAGE,2,READ,
w6,2025-12-19T14:43:03.418553Z,1.328,200,True,0x12A0e24FbEa46bC85bd893CE5E21beFB44f88f15,POLICE,365,IMAGE,2,READ,
w2,2025-12-19T14:43:03.418724Z,1.274,200,True,0xE8bF57455EE3405331D286E17C7bC05cAD0bFB1C,POLICE,498,IMAGE,2,READ,
w7,2025-12-19T14:43:03.418849Z,1.451,200,True,0x16C605c8536B3AC44524Ebd88bF81CE652b1E990,POLICE,128,VIDEO,2,READ,
w4,2025-12-19T14:43:03.419013Z,1.617,200,True,0x2Fd075dD3CC039D228Ac107272729a1129782C59,GARAGE,328,IMAGE,2,READ,
w8,2025-12-19T14:43:03.419117Z,1.811,200,True,0x4706C804bB8f3Eb133529A02e3F3F48fc38Bd2F9,ADJUSTER,282,IMAGE,2,READ,
w0,2025-12-19T14:43:03.419244Z,1.967,200,True,0x7d050D9da028bFC0eFF937489B90834dEFC533f3,INSURER,985,OTHER,1,READ,
w1,2025-12-19T14:43:03.419392Z,2.291,200,True,0xE6eF4f2c9De0532C38589a58Fbde2BBC1C31279B,ADJUSTER,330,IMAGE,2,READ,
w5,2025-12-19T14:43:03.419543Z,2.466,200,True,0x11aaC79A517D8afa3a7DB9b5B2E4a2592284C7AE,INSURER,483,IMAGE,2,READ,
w3,2025-12-19T14:43:03.419641Z,2.579,200,True,0xE6eF4f2c9De0532C38589a58Fbde2BBC1C31279B,ADJUSTER,250,VIDEO,2,READ,
w9,2025-12-19T14:43:03.419766Z,2.672,200,True,0x31A860cfF3A3D2B972B9EE41a34653e31b6143DD,ADJUSTER,423,IMAGE,2,READ,
w6,2025-12-19T14:43:03.419885Z,2.773,200,True,0x24a8D6d1D04D0d1D3e1c665a8Bd2f2B50Cb7097F,GARAGE,284,IMAGE,2,READ,
w2,2025-12-19T14:43:03.420001Z,2.917,403,False,0xe2a2B0b479b477f22BDd40fF8137AC17F6e34B2e,GARAGE,213,VIDEO,2,READ,
w7,2025-12-19T14:43:03.420313Z,2.798,403,False,0x3015CaAdD111E6bb308586Fb390005C8F75848A7,POLICE,842,TELEMATICS,3,READ,
w4,2025-12-19T14:43:03.420640Z,2.630,200,True,0xCC454a974c35BAE19d6A6dE745A05E46885e2304,INSURER,226,VIDEO,2,READ,
w8,2025-12-19T14:43:03.420936Z,2.533,200,True,0x555115C078B14a18238D974E5351E87E050EbE47,ADJUSTER,425,IMAGE,2,READ,
w0,2025-12-19T14:43:03.421218Z,2.504,200,True,0x793235ebf79944f08742d0Cd92ca6D24B4327d8E,POLICE,155,VIDEO,2,READ,
w1,2025-12-19T14:43:03.421693Z,2.212,403,False,0x9fFdEc67F092978A065F3956A4C0D0887253f6B4,GARAGE,732,TELEMATICS,3,READ,
w5,2025-12-19T14:43:03.422016Z,2.059,200,True,0xb03C6C3a6e66a20729a4d4758D907D3A07cB0af5,INSURER,282,IMAGE,2,READ,
w3,2025-12-19T14:43:03.422226Z,2.087,200,True,0xDB6a12DbE55181c3f880bD63570EA3f3AC91e63A,ADJUSTER,720,TELEMATICS,3,READ,
w9,2025-12-19T14:43:03.422446Z,2.050,200,True,0x39f6D3043406601E6c6B8f786B46298Be5738EC8,INSURER,985,OTHER,1,READ,
w6,2025-12-19T14:43:03.422663Z,2.109,200,True,0xAd5c25cf76e4C8A2ee7b38179b90ec0379Aee5d3,INSURER,794,TELEMATICS,3,READ,
w2,2025-12-19T14:43:03.422925Z,2.011,403,False,0xe2a2B0b479b477f22BDd40fF8137AC17F6e34B2e,GARAGE,809,TELEMATICS,3,READ,
w7,2025-12-19T14:43:03.423117Z,1.980,200,True,0x66f104f30efDef6bbcf31F1d23B3c5a5Cf67C05A,INSURER,939,OTHER,1,READ,
w4,2025-12-19T14:43:03.423275Z,1.970,403,False,0xD162EE2e18AC5c1AdC8152fd82CeDcE024c00f75,POLICE,726,TELEMATICS,3,READ,
w8,2025-12-19T14:43:03.423478Z,1.934,200,True,0x71f923CB5F826712E139D152d18028dE817Bae65,GARAGE,439,IMAGE,2,READ,
