worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w1,2025-12-19T14:43:03.695089Z,7.513,200,True,0x8a68D81A9d3c90fE303344fA200a40Ad65bB9234,ADJUSTER,184,VIDEO,2,READ,
w5,2025-12-19T14:43:03.695334Z,7.472,403,False,0x9dC8E21f76Ed8e9828c40E7E03428bEF6aF69A84,GARAGE,779,TELEMATICS,3,READ,
w3,2025-12-19T14:43:03.695261Z,7.741,200,True,0x67F4F8CE04FD59Bf243930A77adCf14537A0B5D2,ADJUSTER,214,VIDEO,2,READ,
w9,2025-12-19T14:43:03.695621Z,7.571,403,False,0xd222D38Ccd1502056A8264eaCB2fCfc6c96F6B61,ADJUSTER,539,MEDICAL_REPORT,5,READ,
w6,2025-12-19T14:43:03.695367Z,7.945,200,True,0x1d1694bc32c0223F44b4aC0956BE792a5996Cb79,INSURER,236,VIDEO,2,READ,
w2,2025-12-19T14:43:03.695205Z,8.233,200,True,0x4b325498d9Ec08b7e1eb3C52CE9a554ea24D3737,INSURER,422,IMAGE,2,READ,
w7,2025-12-19T14:43:03.695543Z,8.322,403,False,0x547633aa452093F2f87ad6cF6Af95cf459e17be5,ADJUSTER,564,MEDICAL_REPORT,5,READ,
w4,2025-12-19T14:43:03.695299Z,8.839,200,True,0xbDC02CAdBc892839484c2D2A7933028B4Cb9DBcE,INSURER,836,TELEMATICS,3,READ,
w8,2025-12-19T14:43:03.695587Z,8.719,200,True,0x1dDd4F87D89500d1d92400BaE6cdb8373566adeE,INSURER,824,TELEMATICS,3,READ,
w0,2025-12-19T14:43:03.692996Z,11.492,200,True,0x9d26A04fcCe87Fd42687C4eCBA27F01DB5b333E9,REGULATOR,371,IMAGE,2,READ,
w1,2025-12-19T14:43:03.702617Z,2.039,200,True,0x816E9ccDC1bbbd5f73D84dF5652A4B63F92DE291,INSURER,989,OTHER,1,READ,
w5,2025-12-19T14:43:03.702813Z,2.324,200,True,0x0Adc41557A616569Cd409d74aFe4C9FaD47a57ed,POLICE,386,IMAGE,2,READ,
w3,2025-12-19T14:43:03.703008Z,2.446,200,True,0xf3f97A6811D6ad4d52078Dca9bAe96C8d8136764,ADJUSTER,320,IMAGE,2,READ,
w9,2025-12-19T14:43:03.703198Z,2.442,200,True,0x4D2e324068BA02Eb613f39F882B7ED435DaAe089,INSURER,386,IMAGE,2,READ,
w6,2025-12-19T14:43:03.703316Z,2.638,403,False,0x92416914cF3F47944a8e5CCBA5d619b68b615D33,POLICE,772,TELEMATICS,3,READ,
w2,2025-12-19T14:43:03.703553Z,2.585,200,True,0xc6fd3ebdCCe1922C2aAF225B6Ae37C875b175082,ADJUSTER,428,IMAGE,2,READ,
w7,2025-12-19T14:43:03.703872Z,2.627,403,False,0xCe0598bC3ba15cA3db71063563179eCf0D7c35A7,ADJUSTER,679,MEDICAL_REPORT,5,READ,
w4,2025-12-19T14:43:03.704145Z,2.534,200,True,0xdF8A225C5B1E14558757B029B89e2F233515a798,ADJUSTER,459,IMAGE,2,READ,
w8,2025-12-19T14:43:03.704312Z,2.638,403,False,0x40B970b53BFF9D4A11Fe90cD35998f21368a2830,POLICE,928,OTHER,1,READ,
w0,2025-12-19T14:43:03.704494Z,2.639,200,True,0xdadC347Cbfd9bcB5e0E6bd20fA005df38d4fdFa0,ADJUSTER,661,FNOL,4,READ,
w1,2025-12-19T14:43:03.704663Z,2.745,200,True,0xD162EE2e18AC5c1AdC8152fd82CeDcE024c00f75,POLICE,83,VIDEO,2,READ,
w5,2025-12-19T14:43:03.705145Z,2.504,200,True,0xeE7a8fa9C275631851e5D7dc28236a336206c473,COURT,185,VIDEO,2,READ,
w3,2025-12-19T14:43:03.705461Z,2.436,200,True,0xD46554Edf6329a0a8caae2A79EB7098A7a24Ba81,INSURER,152,VIDEO,2,READ,
w9,2025-12-19T14:43:03.705645Z,2.475,200,True,0x5Adf6dA1124Cb04f8e27b4b197b6521C42AD0641,INSURER,133,VIDEO,2,READ,
w6,2025-12-19T14:43:03.705961Z,2.342,200,True,0x03E8540790383Dc711c7029C4a4727A3D6F85Ee6,INSURER,408,IMAGE,2,READ,
w2,2025-12-19T14:43:03.706145Z,2.316,200,True,0xD89D70fF36c803e47f1df2Ffaab469107117214F,ADJUSTER,456,IMAGE,2,READ,
w7,2025-12-19T14:43:03.706506Z,2.102,200,True,0xd222D38Ccd1502056A8264eaCB2fCfc6c96F6B61,ADJUSTER,474,IMAGE,2,READ,
w4,2025-12-19T14:43:03.706685Z,2.165,200,True,0xB681a7921F6B4dE01c32e0986627275Edcd5e568,INSURER,266,IMAGE,2,READ,
w8,2025-12-19T14:43:03.706957Z,2.155,403,False,0x28de4877801Eb83FF8f280a15cC0c360f89295ED,GARAGE,553,MEDICAL_REPORT,5,READ,
w0,2025-12-19T14:43:03.707139Z,2.232,200,True,0x3dc584940370d31418aBbfB6F809C055E9bBC98f,COURT,91,VIDEO,2,READ,
w1,2025-12-19T14:43:03.707415Z,2.155,200,True,0x986fDE3291033E80049183d4eAac7752F29166cC,INSURER,78,VIDEO,2,READ,
w5,2025-12-19T14:43:03.707656Z,2.077,200,True,0x74fB3137dFB3B6448931Fb8Da2496AaF6a238f78,COURT,908,OTHER,1,READ,
w3,2025-12-19T14:43:03.707904Z,1.994,403,False,0x40B970b53BFF9D4A11Fe90cD35998f21368a2830,POLICE,603,FNOL,4,READ,
w9,2025-12-19T14:43:03.708126Z,1.965,403,False,0x9dC8E21f76Ed8e9828c40E7E03428bEF6aF69A84,GARAGE,984,OTHER,1,READ,
w6,2025-12-19T14:43:03.708309Z,2.081,200,True,0x3dc584940370d31418aBbfB6F809C055E9bBC98f,COURT,1,VIDEO,2,READ,
w2,2025-12-19T14:43:03.708468Z,2.203,200,True,0x8CbB8dd324B837e6BD98E13e0c21fa636120Ca56,REGULATOR,512,FNOL,4,READ,
w7,2025-12-19T14:43:03.708612Z,2.405,200,True,0x5cB8e3e86426cca28B81a1F506b0c918fa230526,INSURER,668,MEDICAL_REPORT,5,READ,
w4,2025-12-19T14:43:03.708858Z,2.460,200,True,0x3015CaAdD111E6bb308586Fb390005C8F75848A7,POLICE,300,IMAGE,2,READ,
w8,2025-12-19T14:43:03.709120Z,2.484,200,True,0x2bae1eb63108Ab352DaD7842Af98F4e1768425C1,ADJUSTER,266,IMAGE,2,READ,
w0,2025-12-19T14:43:03.709378Z,2.506,200,True,0xA18C8C6aE69cB5aabAA3EfDdF1c38c4dE58494CA,INSURER,615,FNOL,4,READ,
w1,2025-12-19T14:43:03.709577Z,2.584,200,True,0x8e698D53B82C116210BD73e1cA88584086b03795,POLICE,196,VIDEO,2,READ,
w5,2025-12-19T14:43:03.709738Z,2.692,200,True,0x3dc584940370d31418aBbfB6F809C055E9bBC98f,COURT,106,VIDEO,2,READ,
w3,2025-12-19T14:43:03.709904Z,2.785,200,True,0x87731f9AB64CbE25f915Bd81646C15853b0A47F6,POLICE,465,IMAGE,2,READ,
w9,2025-12-19T14:43:03.710096Z,2.867,200,True,0x8CbB8dd324B837e6BD98E13e0c21fa636120Ca56,REGULATOR,357,IMAGE,2,READ,
w6,2025-12-19T14:43:03.710397Z,2.806,200,True,0x8C0A9562bA06c26cD697012F2C311Ab93431CB08,INSURER,815,TELEMATICS,3,READ,
w2,2025-12-19T14:43:03.710676Z,2.929,200,True,0xFfF5E088c8b6a5a470a6D48f405892515c41FCa6,ADJUSTER,936,OTHER,1,READ,
w7,2025-12-19T14:43:03.711026Z,2.772,200,True,0x74fB3137dFB3B6448931Fb8Da2496AaF6a238f78,COURT,912,OTHER,1,READ,
w4,2025-12-19T14:43:03.711327Z,2.640,200,True,0xA9da87e421E9bF79a8e80EaD31e737D98aa626eE,INSURER,862,OTHER,1,READ,
w8,2025-12-19T14:43:03.711612Z,2.515,200,True,0x1734cC5117Ca09e57A599f0E72469FEad0d749F9,REGULATOR,171,VIDEO,2,READ,
w0,2025-12-19T14:43:03.711892Z,2.398,403,False,0x24a62efdAe4d80281BAc758e86a4E386905c720C,GARAGE,565,MEDICAL_REPORT,5,READ,
w1,2025-12-19T14:43:03.712169Z,2.331,403,False,0x12A0e24FbEa46bC85bd893CE5E21beFB44f88f15,POLICE,792,TELEMATICS,3,READ,
w5,2025-12-19T14:43:03.712437Z,2.291,200,True,0xf7E1883f933104b142c40E92e6624179359b44C2,INSURER,716,TELEMATICS,3,READ,
w3,2025-12-19T14:43:03.712697Z,2.174,403,False,0xD162EE2e18AC5c1AdC8152fd82CeDcE024c00f75,POLICE,969,OTHER,1,READ,
w9,2025-12-19T14:43:03.712971Z,2.097,403,False,0x7775fD4aD4669C7F6F26aCBf7CC07d9dA5f959C8,POLICE,672,MEDICAL_REPORT,5,READ,
w6,2025-12-19T14:43:03.713210Z,2.039,200,True,0xb00fDdDb57D515d86B84D0A2E8E492d9b6082070,INSURER,42,VIDEO,2,READ,
w2,2025-12-19T14:43:03.713612Z,1.775,200,True,0xCe0598bC3ba15cA3db71063563179eCf0D7c35A7,ADJUSTER,347,IMAGE,2,READ,
w7,2025-12-19T14:43:03.713804Z,1.771,200,True,0x8C0A9562bA06c26cD697012F2C311Ab93431CB08,INSURER,685,FNOL,4,READ,
w4,2025-12-19T14:43:03.713972Z,1.752,403,False,0x87731f9AB64CbE25f915Bd81646C15853b0A47F6,POLICE,945,OTHER,1,READ,
w8,2025-12-19T14:43:03.714133Z,1.724,200,True,0x39f6D3043406601E6c6B8f786B46298Be5738EC8,INSURER,896,OTHER,1,READ,
w0,2025-12-19T14:43:03.714296Z,1.685,200,True,0x852cB9f303D330bff5722A21d48c0c4303bda309,POLICE,411,IMAGE,2,READ,
