batch_size,repetition,system,throughput_tps,total_gas,total_time_ms
100,0,PostgreSQL,918.9703837384214,,108.81743500067387
100,0,MongoDB,3574.1603789557985,,27.97859899874311
100,0,Blockchain,13.404403804010153,2622412,7460.234819998732
100,1,PostgreSQL,1060.158953029746,,94.32547799951863
100,1,MongoDB,5894.411869338873,,16.965220995189156
100,1,Blockchain,2.2201044607291314,2596182,45042.92557799636
100,2,PostgreSQL,1069.6857248189344,,93.48540200153366
100,2,MongoDB,12416.20921208758,,8.053988000028767
100,2,Blockchain,14.043480880052936,2622268,7120.741705999535
100,3,PostgreSQL,1008.2136646564156,,99.18532500159927
100,3,MongoDB,10846.335197576911,,9.219703999406192
100,3,Blockchain,1.5458969315443547,2622352,64687.36560599791
100,4,PostgreSQL,451.0573827064192,,221.70128199650208
100,4,MongoDB,3235.8904260364175,,30.903394996130373
100,4,Blockchain,7.275403007745809,2622448,13744.94304900145
500,0,PostgreSQL,499.0691721110213,,1001.8651280042832
500,0,MongoDB,6342.3911982770105,,78.83461999881547
500,1,PostgreSQL,421.52307902170134,,1186.1746720023802
500,1,MongoDB,4378.41767237253,,114.1965060014627
500,2,PostgreSQL,573.0585043756128,,872.5112640022417
500,2,MongoDB,5150.380023147796,,97.08021500409814
500,3,PostgreSQL,519.8036056418554,,961.9017539953347
500,3,MongoDB,8999.67837010464,,55.557540996233
500,4,PostgreSQL,607.6580196742734,,822.8312369974446
500,4,MongoDB,6324.955306206562,,79.05194199702237
1000,0,PostgreSQL,587.6409765018558,,1701.719315002265
1000,0,MongoDB,4254.612340101392,,235.03904000244802
1000,1,PostgreSQL,559.958823181868,,1785.8455989990034
1000,1,MongoDB,4925.163931734568,,203.038927000307
1000,2,PostgreSQL,472.69285451747834,,2115.5386429963983
1000,2,MongoDB,5496.2553874078485,,181.9420550018549
1000,3,PostgreSQL,510.0459091090638,,1960.607824003091
1000,3,MongoDB,5082.007775046192,,196.77262299956055
1000,4,PostgreSQL,473.6728806953866,,2111.1616069974843
1000,4,MongoDB,4426.231759791815,,225.92581099888775
