event_count,pattern,repetition,blockchain_latency_ms,postgres_latency_ms,mongo_latency_ms,result_count
100,by_subject,0,29.979705810546875,6.009817123413086,2.178192138671875,1
100,by_subject,1,8.691549301147461,1.1327266693115234,2.054452896118164,1
100,by_subject,2,13.878822326660156,0.9605884552001953,1.3942718505859375,1
100,by_subject,3,7.234096527099609,1.0190010070800781,1.3256072998046875,1
100,by_subject,4,7.976293563842773,1.005411148071289,1.4624595642089844,1
100,by_subject,5,9.45425033569336,0.8883476257324219,1.4433860778808594,1
100,by_subject,6,9.69696044921875,0.8144378662109375,1.2717247009277344,1
100,by_subject,7,6.901979446411133,1.1067390441894531,1.8453598022460938,1
100,by_subject,8,8.776426315307617,0.8511543273925781,1.466989517211914,1
100,by_subject,9,11.215686798095703,0.865936279296875,1.6164779663085938,1
100,by_resource,0,6.35528564453125,0.86212158203125,1.3332366943359375,1
100,by_resource,1,11.938810348510742,0.9982585906982422,1.722574234008789,1
100,by_resource,2,8.928298950195312,0.858306884765625,1.3573169708251953,1
100,by_resource,3,11.563539505004883,0.8525848388671875,1.9538402557373047,1
100,by_resource,4,9.131669998168945,0.7996559143066406,1.1587142944335938,1
100,by_resource,5,6.797075271606445,1.583099365234375,1.8689632415771484,1
100,by_resource,6,8.571624755859375,0.8280277252197266,1.3394355773925781,1
100,by_resource,7,9.146451950073242,0.8890628814697266,1.6121864318847656,1
100,by_resource,8,15.47098159790039,1.0497570037841797,1.4927387237548828,1
100,by_resource,9,7.292747497558594,0.9911060333251953,1.6679763793945312,1
100,time_range,0,106.14848136901855,1.2612342834472656,1.5265941619873047,23
100,time_range,1,109.42578315734863,1.0833740234375,1.7104148864746094,23
100,time_range,2,180.2980899810791,1.3532638549804688,1.861572265625,23
100,time_range,3,124.51052665710449,1.3725757598876953,1.7504692077636719,23
100,time_range,4,148.5433578491211,1.055002212524414,1.4638900756835938,23
100,time_range,5,165.26126861572266,1.2798309326171875,1.5411376953125,23
100,time_range,6,127.57349014282227,1.4431476593017578,1.888275146484375,23
100,time_range,7,112.35690116882324,0.8845329284667969,1.6145706176757812,23
100,time_range,8,119.48490142822266,1.325368881225586,1.589059829711914,23
100,time_range,9,178.59959602355957,1.1453628540039062,1.5411376953125,23
