avg_gas_per_event,gas_price_gwei,cost_eth,cost_usd,cost_per_1k_events_usd,cost_per_10k_events_usd
26224.6,10,0.000262246,0.524492,524.492,5244.919999999999
26224.6,50,0.00131123,2.6224600000000002,2622.46,26224.600000000002
26224.6,100,0.00262246,5.2449200000000005,5244.92,52449.200000000004
