System,P50_ms,P90_ms,P99_ms
RBAC,1.8900000000000001,2.6437999999999997,8.720199999999998
HYBRID,135.74200000000002,151.24739999999994,165.50666
CLAIMGUARD,60.876000000000005,69.5953,78.88314
