worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w8,2025-12-19T15:01:08.274914Z,67.225,403,False,0x38C88185b74B534134345be38916483044075686,POLICE,847,TELEMATICS,3,READ,
w9,2025-12-19T15:01:08.274971Z,93.773,200,True,0xF88a95Dd8B84AF76941627AA419BEFc507d88125,ADJUSTER,608,FNOL,4,READ,
w2,2025-12-19T15:01:08.274311Z,94.775,200,True,0xCC05C551476CDbEfAd79Ed75427937b892aaFE9C,ADJUSTER,61,VIDEO,2,READ,
w6,2025-12-19T15:01:08.274555Z,94.774,200,True,0x044bef4Ff250cBBFE36FEfE3b859D78bA04c1223,INSURER,942,OTHER,1,READ,
w3,2025-12-19T15:01:08.274393Z,95.122,200,True,0x07DA3024980d3B92Bcf6B8850A7C08F758B5F781,INSURER,382,IMAGE,2,READ,
w1,2025-12-19T15:01:08.274114Z,95.561,200,True,0x5ee06906aF52aEd2c884D505d3a0A7CA7513188D,INSURER,709,TELEMATICS,3,READ,
w7,2025-12-19T15:01:08.274831Z,95.004,200,True,0x2ee7F051BB940423f554ea44742f7c4c8C20Ea59,INSURER,524,FNOL,4,READ,
w4,2025-12-19T15:01:08.274452Z,95.524,200,True,0x5CdF84465a68A1A9CEfe264b98c0701879D78982,INSURER,283,IMAGE,2,READ,
w5,2025-12-19T15:01:08.274506Z,95.608,200,True,0xACaaedBfb07404f2aAf0ccd6503B1529C1A48764,ADJUSTER,961,OTHER,1,READ,
w0,2025-12-19T15:01:08.270768Z,99.528,200,True,0x2B5dEec5325fd9befC139A2071d830B25FAd52Ef,GARAGE,399,IMAGE,2,READ,
w8,2025-12-19T15:01:08.342156Z,58.095,200,True,0x077f45EB3eB6027C0D05Ab77CAC4D29c46cb3a6E,INSURER,671,MEDICAL_REPORT,5,READ,
w9,2025-12-19T15:01:08.368757Z,109.053,200,True,0x14d0cb07D407E25F725b7f9854B98fEEEBb4942F,INSURER,642,MEDICAL_REPORT,5,READ,
w2,2025-12-19T15:01:08.369097Z,109.172,200,True,0xd6f5696C80b8cb2D4AAaFdaf8E7C266cf4af4538,COURT,301,IMAGE,2,READ,
w6,2025-12-19T15:01:08.369336Z,109.328,200,True,0x567dccd668D18B4ACd8A2795151edB162Bc34767,ADJUSTER,563,FNOL,4,READ,
w3,2025-12-19T15:01:08.369520Z,109.350,200,True,0xCC05C551476CDbEfAd79Ed75427937b892aaFE9C,ADJUSTER,352,IMAGE,2,READ,
