worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w7,2025-12-19T15:01:08.925121Z,30.358,403,False,0x786da68d54Be22366903D370c34910372Db174c9,POLICE,896,OTHER,1,READ,
w5,2025-12-19T15:01:08.924895Z,31.187,403,False,0xD3b3bd4ce4B597519FCE080Ce05805A99cC8C772,GARAGE,665,FNOL,4,READ,
w9,2025-12-19T15:01:08.925215Z,59.952,200,True,0x3308795A526382DB26cF04047fE2bBd4F56E6CE7,COURT,78,VIDEO,2,READ,
w2,2025-12-19T15:01:08.924764Z,60.827,200,True,0xd6f5696C80b8cb2D4AAaFdaf8E7C266cf4af4538,COURT,601,MEDICAL_REPORT,5,READ,
w6,2025-12-19T15:01:08.924929Z,60.845,200,True,0x93787a823E3D4Ae295F5a91C0e87325E40B3aa3F,REGULATOR,26,VIDEO,2,READ,
w3,2025-12-19T15:01:08.924819Z,61.100,200,True,0xd132a79Ca7Be8caaC9A27467EB9B65F7cBD6F50E,ADJUSTER,294,IMAGE,2,READ,
w1,2025-12-19T15:01:08.924640Z,61.410,200,True,0xE1c2102345d7379f4bb3F114e908e9cC9154A335,POLICE,453,IMAGE,2,READ,
w4,2025-12-19T15:01:08.924858Z,61.309,200,True,0xE3De53E77787ac96c6f78B3eD0A6Acea23953342,POLICE,119,VIDEO,2,READ,
w8,2025-12-19T15:01:08.925176Z,61.107,200,True,0x3495fF4A33D3b8aCCB512226B501122064b1e8fe,INSURER,966,OTHER,1,READ,
w0,2025-12-19T15:01:08.922414Z,64.078,200,True,0xcA28195b12c3c8cB960d8423584ee9a8677BD158,POLICE,353,IMAGE,2,READ,
w5,2025-12-19T15:01:08.956093Z,30.528,403,False,0x4BA98aed0F31F1E56A9bc733FD86aB30e5b88D0E,GARAGE,175,VIDEO,2,READ,
w7,2025-12-19T15:01:08.955504Z,61.132,200,True,0x7C8B230898f07628a4f24e2D0ffe62373593dCce,POLICE,384,IMAGE,2,READ,
w0,2025-12-19T15:01:08.986498Z,30.474,403,False,0xa96C0E04f38F8dC8842789660AA8C570bfCCFF50,GARAGE,739,TELEMATICS,3,READ,
w9,2025-12-19T15:01:08.985178Z,61.884,200,True,0xE1C502975CC15E22bC10c8a6e352061ef61bBc2A,COURT,9,VIDEO,2,READ,
w2,2025-12-19T15:01:08.985600Z,61.864,200,True,0x1cf47318cada656180563507BDd94262cAA29a4a,INSURER,260,IMAGE,2,READ,
w6,2025-12-19T15:01:08.985780Z,61.867,200,True,0xC66fE61Fe01B90e3C051c0ED40Dd41fC9347D018,REGULATOR,472,IMAGE,2,READ,
w3,2025-12-19T15:01:08.985925Z,61.854,200,True,0xD46492141A5F13412fa59e5F47Ce969c7954E752,INSURER,313,IMAGE,2,READ,
w1,2025-12-19T15:01:08.986056Z,61.850,200,True,0xBCb233Ef85EC11C88E20Ea53Bb47f454d116FBe3,ADJUSTER,471,IMAGE,2,READ,
w4,2025-12-19T15:01:08.986172Z,61.849,200,True,0x58e8E907e02C35e581Ed3a4e98906344861E7265,INSURER,868,OTHER,1,READ,
w8,2025-12-19T15:01:08.986287Z,61.906,200,True,0xD261b62ccB398d8100234C5fD641c6D67B10C62B,GARAGE,385,IMAGE,2,READ,
w5,2025-12-19T15:01:08.986626Z,61.692,200,True,0xC6Ffd174B730f05f52aF93e216103D6C7464cc96,INSURER,287,IMAGE,2,READ,
w7,2025-12-19T15:01:09.016649Z,62.223,200,True,0xC66fE61Fe01B90e3C051c0ED40Dd41fC9347D018,REGULATOR,952,OTHER,1,READ,
w0,2025-12-19T15:01:09.016979Z,62.198,200,True,0x467316319C6B5f391c5a6B3b0190d4209202fC25,ADJUSTER,113,VIDEO,2,READ,
w6,2025-12-19T15:01:09.047652Z,31.770,403,False,0x1Ab5D0f68133DA5E100635Bdf5030650cA2bE691,ADJUSTER,553,MEDICAL_REPORT,5,READ,
w3,2025-12-19T15:01:09.047783Z,31.790,403,False,0x4BC2c2b671822006a9D592cdd2Db24e8Da3C6adf,GARAGE,847,TELEMATICS,3,READ,
w1,2025-12-19T15:01:09.047910Z,31.839,403,False,0xa96C0E04f38F8dC8842789660AA8C570bfCCFF50,GARAGE,821,TELEMATICS,3,READ,
w9,2025-12-19T15:01:09.047074Z,63.009,200,True,0x09596bf36cE63dABDeB58d68a52792B7BA13ba84,ADJUSTER,932,OTHER,1,READ,
w2,2025-12-19T15:01:09.047474Z,63.047,200,True,0x78b99D5D04232b9650d619DBa5F5600a9242A472,INSURER,554,MEDICAL_REPORT,5,READ,
w4,2025-12-19T15:01:09.048026Z,62.843,200,True,0x51A2465dc26f17e37524f93494A8409715ACc9c2,INSURER,338,IMAGE,2,READ,
w8,2025-12-19T15:01:09.048198Z,62.890,200,True,0x3d9c5458418bD082b010C0F93c3b8FBF9826E0Bf,INSURER,199,VIDEO,2,READ,
w5,2025-12-19T15:01:09.048323Z,62.970,200,True,0x3495fF4A33D3b8aCCB512226B501122064b1e8fe,INSURER,418,IMAGE,2,READ,
w7,2025-12-19T15:01:09.078884Z,72.681,200,True,0xB3e698A67fD5AEeB61b8bE389e7E917Bc2Ea032a,POLICE,224,VIDEO,2,READ,
w0,2025-12-19T15:01:09.079187Z,72.674,200,True,0xC5f6e3512D3B1133da1f88159fDf63dC9f2d43FB,ADJUSTER,899,OTHER,1,READ,
w6,2025-12-19T15:01:09.079429Z,72.662,200,True,0x2ee7F051BB940423f554ea44742f7c4c8C20Ea59,INSURER,53,VIDEO,2,READ,
w3,2025-12-19T15:01:09.079579Z,72.649,200,True,0x78b99D5D04232b9650d619DBa5F5600a9242A472,INSURER,460,IMAGE,2,READ,
w1,2025-12-19T15:01:09.079757Z,72.589,200,True,0x077f45EB3eB6027C0D05Ab77CAC4D29c46cb3a6E,INSURER,525,MEDICAL_REPORT,5,READ,
w4,2025-12-19T15:01:09.110877Z,41.582,403,False,0xDd45386232533D2C209976e678A91A2263676ECB,GARAGE,949,OTHER,1,READ,
w5,2025-12-19T15:01:09.111301Z,41.299,403,False,0xcA28195b12c3c8cB960d8423584ee9a8677BD158,POLICE,926,OTHER,1,READ,
w9,2025-12-19T15:01:09.110101Z,71.893,200,True,0xC753D2a5211C57F7C2b4279053b11aEC435b41AB,REGULATOR,703,TELEMATICS,3,READ,
w2,2025-12-19T15:01:09.110532Z,71.767,200,True,0x1F022FfD0700E02E8f01B8f05f539f8C7a0339bb,POLICE,183,VIDEO,2,READ,
w8,2025-12-19T15:01:09.111096Z,71.400,200,True,0x3E93709810FB754ab4D6A2487344dF504087996D,INSURER,655,FNOL,4,READ,
w7,2025-12-19T15:01:09.151575Z,67.900,200,True,0x58e8E907e02C35e581Ed3a4e98906344861E7265,INSURER,119,VIDEO,2,READ,
w0,2025-12-19T15:01:09.151868Z,67.917,200,True,0xf5d0314845FCf19022a28FeD6650e58CFc01f243,INSURER,855,OTHER,1,READ,
w6,2025-12-19T15:01:09.152097Z,67.940,200,True,0x29Da547ffD477d0d4628d547368EcFDF73054469,ADJUSTER,584,FNOL,4,READ,
w3,2025-12-19T15:01:09.152234Z,67.944,200,True,0xf9314f31cc38103bC7607a176a804e5C1Ecbf511,INSURER,963,OTHER,1,READ,
w1,2025-12-19T15:01:09.152350Z,67.947,200,True,0x69254de41949D1A246C5c1A168e5e8473D2d50f0,ADJUSTER,302,IMAGE,2,READ,
w4,2025-12-19T15:01:09.152464Z,67.942,200,True,0xE1C502975CC15E22bC10c8a6e352061ef61bBc2A,COURT,752,TELEMATICS,3,READ,
w5,2025-12-19T15:01:09.152605Z,67.913,200,True,0xD756c57480Ea623123AB3a5ad4445875E3309Ac6,INSURER,796,TELEMATICS,3,READ,
w8,2025-12-19T15:01:09.182503Z,38.178,403,False,0x0AbFb230511189A840157bF7FcA43b1b69338dC6,POLICE,746,TELEMATICS,3,READ,
w9,2025-12-19T15:01:09.182004Z,67.768,200,True,0xBC78986794f1658340222E011F7e1Cf375177F95,ADJUSTER,737,TELEMATICS,3,READ,
w2,2025-12-19T15:01:09.182307Z,67.774,200,True,0x598405697b464FEbA8C76367b7C75C59D8BE2eCF,COURT,320,IMAGE,2,READ,
w3,2025-12-19T15:01:09.220184Z,30.114,403,False,0xafA5Afd00Ec5464DAf96FCe2b09f4e4e157F4A67,POLICE,853,OTHER,1,READ,
w5,2025-12-19T15:01:09.220522Z,29.921,403,False,0x28365792Da71bc8AcAD11a4393049d006EF2E972,GARAGE,568,FNOL,4,READ,
w7,2025-12-19T15:01:09.219487Z,64.802,200,True,0xa814b4D02E07Daa3235ffc1E4752eCF8f6C2D8d8,ADJUSTER,72,VIDEO,2,READ,
w0,2025-12-19T15:01:09.219792Z,64.808,200,True,0x2875Aa8C20c095495Ab5d6A1aBE2E2b07077dF55,INSURER,19,VIDEO,2,READ,
w6,2025-12-19T15:01:09.220044Z,64.802,200,True,0xa814b4D02E07Daa3235ffc1E4752eCF8f6C2D8d8,ADJUSTER,453,IMAGE,2,READ,
w1,2025-12-19T15:01:09.220302Z,64.695,200,True,0xa814b4D02E07Daa3235ffc1E4752eCF8f6C2D8d8,ADJUSTER,693,FNOL,4,READ,
w4,2025-12-19T15:01:09.220412Z,64.717,200,True,0x05d1ef5b43268c6a5BD456A953029092795045d9,INSURER,815,TELEMATICS,3,READ,
w8,2025-12-19T15:01:09.220686Z,64.559,200,True,0xC5f6e3512D3B1133da1f88159fDf63dC9f2d43FB,ADJUSTER,575,FNOL,4,READ,
w9,2025-12-19T15:01:09.249784Z,63.762,200,True,0x98eAB44F56Ae1f00C301517F1B6fCDb7a452D64b,ADJUSTER,816,TELEMATICS,3,READ,
