test,requests,concurrency,P50_ms,P90_ms,P99_ms
latency_read_n100_c10,100,10,31.7125,40.959300000000205,63.17649
latency_read_n200_c10,200,10,30.747500000000002,33.506499999999996,39.96458
latency_read_n500_c10,500,10,31.200499999999998,34.0275,40.99319
latency_read_n50_c10,50,10,30.807,42.8344,45.19234999999999
