worker,index,status,latency_ms,tx_hash,gas_used,policy_id,error
w0,0,200,54.405,0xc986e6f0e21213282c8aa8892cb310cffe9b7a62ef4406258b068feec1f2aafc,134001,801,
w0,1,200,73.374,0x7dabd93bb3226b8ec1eecae07b4e8b85f34c66e70c753ef14537223860c4ce8e,134001,802,
w0,2,200,61.303,0xf8864377cdf05cdacd0e448574e5ae7563a416abca0b14f9b08990014c9e3423,134001,803,
w0,3,200,33.214,0xe2de9ca53f6ef9d42d1a75258fb4f14124f6a70466e10fef69cec3da2689993d,134001,804,
w0,4,200,35.372,0x249956cea7bee874ace2927808bbab59cf8ea3c0a2e13882978be9ddad042fb0,134001,805,
w0,5,200,33.377,0x967e350f6e0e4e3a900cad8de3cf085d9e8a53213d8b90b59ae767156e98c80c,134001,806,
w0,6,200,43.804,0x0bfb61913e5262b4dfbeb8e31aa6f39b69fbff8f052e89f1f0d9659cefa83896,134132,807,
w0,7,200,40.742,0x783aae3a61aedfeabf0d6c6e299102438ee79d9e1d5a0a0e5d9c7e00c8ed96db,134001,808,
w0,8,200,45.674,0x58a73049b8088a2d739d44c1edcfa19d3243a14d7ba6bcf5d816e9000a403398,114220,809,
w0,9,200,50.427,0x018d91c1b95389d57a0bc7304915eaf2026ff580c42b1c13afc278afa3daf6e8,114089,810,
w0,10,200,41.206,0x8c46157e887ede1b0d589c055c24537f08495dc08424bdfd3ceb875727a4f955,134001,811,
w0,11,200,44.443,0x8c0a0227a7b296ea1fa658b93d17b1c5410d38ce753ebccdb6cabe2e49f5cf70,134001,812,
w0,12,200,38.388,0x302e0dc5316171760be369a5b2a07181809d0295effcd9a9be0408ab6b0281ca,114089,813,
w0,13,200,68.481,0x9d70574ebfc60cbbc29ed9a86f773fe48728abd77c84435c24bd32acf0000dcd,134001,814,
w0,14,200,36.510,0x21136768d2834d71cc2838b128abdd359ad607e9a39fa99a8d0309e7c5eccfe1,134001,815,
w0,15,200,67.325,0xc316c1cc1f17449c9279160dcdbcebc6fe967fbc93875f420db8f7c445673707,114089,816,
w0,16,200,40.794,0x3cd75c2396c4d46f3d26b53f03b06ccaf5ae1fea0e9de230af270ba247b791e3,134132,817,
w0,17,200,51.366,0xda8d820c3a6b457d4a0357aaa0bf9e70e30a24e49732e9886dba6c4c605d5be7,134001,818,
w0,18,200,51.602,0x88b91f202df66dd8e4d72d32b7de02227266c7c84da8cd085d498b6bc2d03c7b,114089,819,
w0,19,200,58.125,0x6eb743ffe8bc5fe1146e7256ff043745b457bf6b1b3197da3a32b7ffbdee65d7,134001,820,
w0,20,200,38.453,0xc604f78e17ff8974332609fc4c124ece486af127cdfef2320b871a0a97649e6f,134001,821,
