worker,index,status,latency_ms,tx_hash,gas_used,policy_id,error
w0,45,200,56.109,0x4166e6f81e581318961da4818933bf23eab107a1143f90f1df1c094b3e8cdf99,134001,761,
w0,46,200,43.563,0x6525c2f01f05bc76d09770714c307b435d648ab0d8a08b0684bb2daa11681c1b,134001,762,
w0,47,200,41.452,0x189c6c3805b6a2a9f56d5d4a9b43fa6cfbc667742496f251c6c35d78c668a1cf,134001,763,
w0,48,200,44.497,0xda762c7c1831deff6e40a6d85c361bafa52882e56a5a93dd14247af894fa46b9,134001,764,
w0,49,200,55.908,0xfe703195a930f954038d4224e8a1ea110e8c7ded89621b7b6d62f36f9a5a75be,134001,765,
w0,50,200,53.003,0xd1124734a14db923f9965a53f39fe9797a5dd69f8fa91aa6715975c2815e2ba6,134001,766,
w0,51,200,44.332,0xdb621637718efa15d5a86aa3d18bcdb73940636fa6f35f332479d236a9e965ad,134001,767,
w0,52,200,65.603,0x759823cf076f11385290e1341e15f551d1b6da8a5054bf3e945191eeb221e5dc,134001,768,
w0,53,200,43.819,0x0f7f3ec82e8eb955957e495831b899383e9e4f3493582a30e8938e8b492a27f3,134001,769,
w0,54,200,41.447,0x970f9fddc90b6f55491d5ca60a07c78e361cc69d0d5d0d92387f1bd35b723d4f,134132,770,
w0,55,200,54.658,0x64b0c08a802cfe7669cb8bd7b878ada91aa5dcb0496d57759ab68c583eadbcac,134001,771,
w0,56,200,39.754,0x7f753ecd96b36e88468bebdabeb7639628468dfcaee194b5d37e66ecf39a6b78,114089,772,
w0,57,200,46.634,0x9f8aabd96c409c24f8032ba12db736c41af9a726e440342a0610e1a44c45354b,134001,773,
w0,58,200,39.663,0x87f82ca8f52b66c6051fe561dc5d1e5893f35e13c67cf7998504d9870e2b618f,134001,774,
w0,59,200,35.922,0x1dccd1e5f7c6511fbbd346afc93d840975523cf0534dd9983b79f64fbd6ca9db,134001,775,
w0,60,200,35.977,0xef39255942c4d091ae5c501fd3450cfeb83dab22bef9f2b0a1d3614511812be8,134001,776,
w0,61,200,34.088,0x22f5afd13d88ccf0186b00a815b371736d63aa536cca8ad5dce93f6d6bfdd31e,134001,777,
w0,62,200,34.157,0xb55e79f9d4b16c42bc91faef613fc7583e0bcfe3febb3ec54bcea8d0242a2ed8,134001,778,
w0,63,200,44.919,0x4d1a554c913253bf2e1605d91525a5265889fcb251dc9198ccc94add3ae0124a,134001,779,
w0,64,200,43.857,0xf474cab210ab23b102dbc5efd613e9cfe21a2c961722b7b0d15b6fc3859b638b,134001,780,
w0,65,200,78.433,0xac5474ee72e71f94e4ac8834d2c79ae5618855d5a51d055e88dd1eaf6ed9975a,134001,781,
w0,66,200,57.282,0x73c0ddb865b574dab2babe0de6470d64cad2f4c2f8e65c34c44f0795dcffa043,134132,782,
w0,67,200,41.532,0xbdfa4ffdbf20413b5fde7004bd8db65781f04541b1d370c4343798370cbb8fe0,134001,783,
w0,68,200,54.311,0xf2119b62cffd9883e9bfe425861db818ceac82e59223da60c39a4acc722e64e3,134132,784,
